sign,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
A,0.3450663387775421,0.40537282824516296,0.4371095597743988,0.4395158886909485,0.44809025526046753,0.4013986587524414,0.39799535274505615,0.3929874002933502,0.39013436436653137,0.347019761800766,0.34337785840034485,0.34634047746658325,0.3478407561779022,0.29716867208480835,0.29036614298820496,0.30017489194869995,0.3041215240955353,0.25200968980789185,0.2463078796863556,0.25889572501182556,0.2655203640460968,0.9980711340904236,0.9653923511505127,0.855441689491272,0.7459937930107117,0.6709673404693604,0.7474117279052734,0.7106049656867981,0.8159833550453186,0.8812249302864075,0.7438267469406128,0.6947953701019287,0.8179579377174377,0.8748053908348083,0.7609065771102905,0.7017368674278259,0.810199499130249,0.8529766798019409,0.7972385883331299,0.751901388168335,0.8272292613983154,0.8576523661613464,-4.603266177127807e-07,-0.03103007562458515,-0.039887528866529465,-0.04611566662788391,-0.047119881957769394,-0.012791352346539497,-0.0470576174557209,-0.061571430414915085,-0.06515325605869293,-0.009379543364048004,-0.046565212309360504,-0.0510125607252121,-0.04449769854545593,-0.012796502560377121,-0.05221395939588547,-0.04019632190465927,-0.02180277183651924,-0.01821272261440754,-0.042032208293676376,-0.030523288995027542,-0.015426875092089176
A,0.34884265065193176,0.41632893681526184,0.4544898569583893,0.4618414640426636,0.47192490100860596,0.41216281056404114,0.41810882091522217,0.4170188009738922,0.409798264503479,0.3648063838481903,0.36623847484588623,0.3740949332714081,0.3692874610424042,0.32005754113197327,0.3189476728439331,0.33416780829429626,0.3315793573856354,0.2753627598285675,0.27912282943725586,0.2961578369140625,0.29702264070510864,0.9352410435676575,0.8805103898048401,0.746849536895752,0.6204618215560913,0.5356249809265137,0.6468574404716492,0.6027265787124634,0.7061113715171814,0.738706111907959,0.6488693952560425,0.5924680233001709,0.7112633585929871,0.7310418486595154,0.6673346757888794,0.6040696501731873,0.7152965664863586,0.7357267141342163,0.6953868865966797,0.6511216163635254,0.7231595516204834,0.745793342590332,-4.983316443940566e-07,-0.028801938518881798,-0.03645697608590126,-0.041355282068252563,-0.04046311601996422,-0.016351884230971336,-0.0429927296936512,-0.05171018838882446,-0.05485975742340088,-0.014373131096363068,-0.0442073829472065,-0.047005072236061096,-0.04428252950310707,-0.017663104459643364,-0.05384308472275734,-0.042943477630615234,-0.02891566976904869,-0.022404173389077187,-0.04520434886217117,-0.03438187018036842,-0.022356797009706497
A,0.3492521643638611,0.4126080274581909,0.4537547528743744,0.463809996843338,0.47438886761665344,0.40628018975257874,0.4154568016529083,0.41217225790023804,0.40230923891067505,0.35829097032546997,0.36591506004333496,0.371253103017807,0.3649260103702545,0.31677502393722534,0.31498953700065613,0.3323976695537567,0.32912901043891907,0.2751145660877228,0.2723848819732666,0.2936173379421234,0.2994139492511749,0.9601972103118896,0.8907276391983032,0.7510620355606079,0.6302018165588379,0.5501319169998169,0.6597714424133301,0.6153567433357239,0.7142369151115417,0.7273587584495544,0.660850465297699,0.6060616970062256,0.7174624800682068,0.7292019724845886,0.6809874773025513,0.6145744323730469,0.7147839069366455,0.7314715385437012,0.7088525891304016,0.6675463318824768,0.7273743748664856,0.7394894361495972,-2.86231880863852e-07,-0.025861283764243126,-0.031208403408527374,-0.03366667777299881,-0.030136659741401672,-0.00796519871801138,-0.02906743623316288,-0.034987617284059525,-0.03699259087443352,-0.004117670003324747,-0.026148902252316475,-0.02357630245387554,-0.016162220388650894,-0.005629482213407755,-0.02796868607401848,-0.010170738212764263,0.0064676683396101,-0.009521259926259518,-0.019328707829117775,-0.004071421921253204,0.010170877911150455
A,0.36103495955467224,0.42222148180007935,0.4582836627960205,0.4664439260959625,0.47732821106910706,0.4164906442165375,0.4215681552886963,0.4205661416053772,0.40895846486091614,0.3684060871601105,0.3759821355342865,0.3828635513782501,0.3723553419113159,0.32822635769844055,0.327620267868042,0.3474856913089752,0.3424336910247803,0.28822487592697144,0.29108330607414246,0.3121758997440338,0.3153496980667114,0.8889899849891663,0.8099334836006165,0.671495795249939,0.5535266995429993,0.47280871868133545,0.5763787627220154,0.5387329459190369,0.6374799609184265,0.6475710272789001,0.5787167549133301,0.5363485813140869,0.6455911993980408,0.6451783776283264,0.6013547778129578,0.5446028709411621,0.6447569727897644,0.6547462344169617,0.627143144607544,0.598344087600708,0.6581043601036072,0.6667604446411133,-2.571276809248957e-07,-0.022496921941637993,-0.02574666030704975,-0.02741083689033985,-0.0225931778550148,0.0034959916956722736,-0.016047023236751556,-0.02484416961669922,-0.02914213389158249,0.0074266595765948296,-0.011337866075336933,-0.012361880391836166,-0.00836433656513691,0.00609215721487999,-0.01403900608420372,0.0011563000734895468,0.01576269418001175,0.0025585154071450233,-0.005942470394074917,0.008454042486846447,0.02233198657631874
A,0.36582252383232117,0.43054771423339844,0.4657617211341858,0.47427549958229065,0.4849379360675812,0.4237726926803589,0.4298200309276581,0.4283502399921417,0.41483214497566223,0.37426531314849854,0.3828369379043579,0.3905459940433502,0.3789067268371582,0.3336763381958008,0.3338589668273926,0.35300683975219727,0.34610894322395325,0.29403960704803467,0.29870063066482544,0.31931161880493164,0.3203871250152588,0.8280601501464844,0.7585568428039551,0.6192408800125122,0.5032967329025269,0.42611682415008545,0.518525242805481,0.48595014214515686,0.586236298084259,0.5895412564277649,0.5229187607765198,0.48463067412376404,0.5972803235054016,0.590692400932312,0.549569845199585,0.5050183534622192,0.6029775738716125,0.6028602123260498,0.5752121806144714,0.5615900158882141,0.6228057742118835,0.6234312057495117,-2.819477060711506e-07,-0.02370697818696499,-0.02564217709004879,-0.025074325501918793,-0.017725910991430283,0.00022177613573148847,-0.018518561497330666,-0.025459034368395805,-0.029349667951464653,0.005143200047314167,-0.015271848998963833,-0.016306651756167412,-0.012242984026670456,0.00506467605009675,-0.017138540744781494,-0.0034110918641090393,0.010201436467468739,0.003013092326000333,-0.00796467438340187,0.0044380114413797855,0.016860567033290863
A,0.37352022528648376,0.43207603693008423,0.46721673011779785,0.4768182635307312,0.48948654532432556,0.42888563871383667,0.4350130558013916,0.43183571100234985,0.41921302676200867,0.37932807207107544,0.3869129717350006,0.3936782479286194,0.3850022554397583,0.3402426540851593,0.336527943611145,0.3557097911834717,0.3513416647911072,0.30007240176200867,0.3012675344944,0.3203957676887512,0.32323360443115234,0.7898958921432495,0.7237169742584229,0.5891852378845215,0.4717283844947815,0.3948770761489868,0.4983501136302948,0.45470118522644043,0.5602504014968872,0.5579507946968079,0.5029419660568237,0.45565706491470337,0.5700235962867737,0.5607045888900757,0.5293275713920593,0.4707127511501312,0.5699862241744995,0.5684295296669006,0.5472779870033264,0.5333021283149719,0.5938045382499695,0.5902413129806519,-3.132562369501102e-07,-0.022437192499637604,-0.023204682394862175,-0.021093374118208885,-0.011325114406645298,-0.0009578312747180462,-0.020238252356648445,-0.027591753751039505,-0.0323030911386013,0.005103857256472111,-0.018590781837701797,-0.021024620160460472,-0.01807570271193981,0.006792471278458834,-0.015922827646136284,-0.0013377448776736856,0.01245167851448059,0.0066527933813631535,-0.0024414376821368933,0.010490059852600098,0.02224947139620781
A,0.371006041765213,0.4301127791404724,0.46897441148757935,0.47698527574539185,0.4896557033061981,0.43518349528312683,0.4405083954334259,0.4351714551448822,0.42231646180152893,0.38543808460235596,0.39129263162612915,0.3970034718513489,0.3902457356452942,0.34559497237205505,0.3408344089984894,0.35865193605422974,0.35631614923477173,0.30507221817970276,0.30331185460090637,0.3222641348838806,0.3278816342353821,0.7611830234527588,0.7031194567680359,0.5717169046401978,0.4584805965423584,0.3865724802017212,0.4780375361442566,0.4370866119861603,0.5397781729698181,0.5350619554519653,0.4796595275402069,0.43231213092803955,0.5469053387641907,0.5384069085121155,0.5037853121757507,0.44931286573410034,0.5521363019943237,0.5503907799720764,0.5224987268447876,0.5122766494750977,0.5749001502990723,0.568010687828064,-3.6468429698288674e-07,-0.019642097875475883,-0.01944766752421856,-0.016400374472141266,-0.005665353965014219,-0.0016860850155353546,-0.02155913971364498,-0.028666196390986443,-0.03359658271074295,0.002551797777414322,-0.021855756640434265,-0.023165693506598473,-0.01947437971830368,0.0026722345501184464,-0.02014058642089367,-0.0036969883367419243,0.010948387905955315,0.0011198490392416716,-0.008296935819089413,0.005054080858826637,0.016714008525013924
A,0.3727189004421234,0.4316379129886627,0.46908122301101685,0.48067590594291687,0.49185749888420105,0.43642014265060425,0.44166630506515503,0.4343388080596924,0.4244306981563568,0.38969284296035767,0.39396506547927856,0.39721542596817017,0.3935635983943939,0.3511047959327698,0.34525978565216064,0.36111944913864136,0.36146265268325806,0.31157156825065613,0.30718979239463806,0.3236652612686157,0.3310807943344116,0.7509369850158691,0.6855280995368958,0.5592359900474548,0.451303631067276,0.380129873752594,0.4787439703941345,0.43401098251342773,0.5330888628959656,0.5245804190635681,0.47500506043434143,0.4242677688598633,0.5327699780464172,0.5226317048072815,0.4964196979999542,0.440093070268631,0.5375553369522095,0.5354561805725098,0.5084405541419983,0.49951040744781494,0.5568936467170715,0.5475497841835022,-3.3346370287290483e-07,-0.016506412997841835,-0.014957744628190994,-0.011077809147536755,0.00038925514672882855,7.79790134401992e-05,-0.01764940842986107,-0.02471950277686119,-0.030613532289862633,0.0039018839597702026,-0.02011701837182045,-0.023407533764839172,-0.021844854578375816,0.004446964245289564,-0.015995008870959282,3.042874959646724e-05,0.013479663990437984,0.003431325312703848,-0.0034004678018391132,0.009797780774533749,0.020457232370972633
A,0.3729422986507416,0.43173396587371826,0.46912047266960144,0.4801206588745117,0.4935385286808014,0.4355882704257965,0.44200050830841064,0.4336620569229126,0.42405545711517334,0.3881596028804779,0.39511626958847046,0.39691704511642456,0.3920672535896301,0.34951716661453247,0.3471802771091461,0.36173900961875916,0.36019718647003174,0.3105190694332123,0.3084869682788849,0.3252659738063812,0.3323618471622467,0.7474498748779297,0.6841700673103333,0.556036114692688,0.4459588825702667,0.3747292160987854,0.4738978147506714,0.4276654124259949,0.529876708984375,0.5226604342460632,0.4709565043449402,0.41810497641563416,0.530373215675354,0.5214731097221375,0.4933144748210907,0.4356795847415924,0.5337886214256287,0.5315058827400208,0.5053214430809021,0.4939083755016327,0.5514774322509766,0.5428341627120972,-3.302009190520039e-07,-0.019065041095018387,-0.018442390486598015,-0.014910558238625526,-0.0036941117141395807,-0.0027584198396652937,-0.021022973582148552,-0.02746174857020378,-0.032631997019052505,0.002302806591615081,-0.022118689492344856,-0.02478785067796707,-0.022385621443390846,0.0038752653636038303,-0.01747189834713936,-0.001720333006232977,0.011976257897913456,0.003818439319729805,-0.0036175139248371124,0.009381911717355251,0.02018425054848194
A,0.37195730209350586,0.4306301772594452,0.46881914138793945,0.4803215563297272,0.4930010139942169,0.4362074136734009,0.44222456216812134,0.4352213442325592,0.4255816340446472,0.38868188858032227,0.3945612907409668,0.39785635471343994,0.3929939866065979,0.3501300513744354,0.3469443619251251,0.36262041330337524,0.3610635995864868,0.31120240688323975,0.30910104513168335,0.32604989409446716,0.33303025364875793,0.7447488903999329,0.6812213659286499,0.556921660900116,0.44696828722953796,0.37476110458374023,0.4713614881038666,0.4246870279312134,0.5247726440429688,0.5183435678482056,0.4685324728488922,0.4142581820487976,0.524636447429657,0.517338752746582,0.4910351634025574,0.43333756923675537,0.5297059416770935,0.5289151072502136,0.5034909248352051,0.48998966813087463,0.5455408096313477,0.5377197265625,-3.2171990937968076e-07,-0.02081555500626564,-0.02142602950334549,-0.01875723898410797,-0.008322978392243385,-0.004479127004742622,-0.022415125742554665,-0.028569048270583153,-0.03349261358380318,0.0014662928879261017,-0.02290591225028038,-0.025819584727287292,-0.023508211597800255,0.003966251853853464,-0.01733887940645218,-0.002023875480517745,0.011502706445753574,0.004721297416836023,-0.002717222087085247,0.010064465925097466,0.02082853578031063
